,team_abbr,team,G,W,L,passes_made,asst,secondary_asst,potential_asst,year
12,LAC,LA Clippers,72,49,23,271.0,23.7,3.1,42.6,2019-20
13,LAL,Los Angeles Lakers,71,52,19,283.9,25.4,2.8,46.4,2019-20
14,MEM,Memphis Grizzlies,73,34,39,305.4,26.9,3.5,47.8,2019-20
15,MIA,Miami Heat,72,44,28,292.4,25.8,3.0,49.8,2019-20
16,MIL,Milwaukee Bucks,72,55,17,280.2,25.9,3.2,48.5,2019-20
17,MIN,Minnesota Timberwolves,64,19,45,306.1,23.8,2.4,47.7,2019-20
18,NOP,New Orleans Pelicans,71,30,41,317.7,26.8,3.8,50.0,2019-20
19,NYK,New York Knicks,66,21,45,297.4,22.1,2.2,42.9,2019-20
20,OKC,Oklahoma City Thunder,72,44,28,286.8,21.7,3.4,38.9,2019-20
21,ORL,Orlando Magic,73,33,40,271.5,23.9,2.8,47.9,2019-20
22,PHI,Philadelphia 76ers,73,43,30,299.7,25.8,3.9,47.2,2019-20
23,PHX,Phoenix Suns,72,34,38,292.4,27.2,3.1,52.5,2019-20
24,POR,Portland Trail Blazers,73,34,39,243.4,20.6,2.5,38.3,2019-20
25,SAC,Sacramento Kings,71,31,40,283.7,23.8,2.6,44.9,2019-20
26,SAS,San Antonio Spurs,70,31,39,280.1,24.7,3.0,43.3,2019-20
27,TOR,Toronto Raptors,71,52,19,292.3,25.2,3.8,47.3,2019-20
28,UTA,Utah Jazz,72,44,28,296.3,22.4,2.8,40.6,2019-20
29,WAS,Washington Wizards,72,25,47,307.8,25.0,2.6,46.9,2019-20
0,ATL,Atlanta Hawks,72,41,31,274.1,24.1,3.0,45.5,2020-21
1,BOS,Boston Celtics,72,36,36,284.7,23.5,2.6,41.4,2020-21
2,BKN,Brooklyn Nets,72,48,24,277.3,26.8,3.3,47.6,2020-21
3,CHA,Charlotte Hornets,72,33,39,304.8,26.8,3.7,49.3,2020-21
4,CHI,Chicago Bulls,72,31,41,291.0,26.8,3.9,48.6,2020-21
5,CLE,Cleveland Cavaliers,72,22,50,303.1,23.8,3.0,45.1,2020-21
6,DAL,Dallas Mavericks,72,42,30,274.9,22.9,3.2,43.2,2020-21
7,DEN,Denver Nuggets,72,47,25,295.3,26.8,4.1,48.3,2020-21
8,DET,Detroit Pistons,72,20,52,287.2,24.2,2.3,45.7,2020-21
9,GSW,Golden State Warriors,72,39,33,307.5,27.7,4.5,49.6,2020-21
10,HOU,Houston Rockets,72,17,55,277.1,23.6,3.0,46.7,2020-21
11,IND,Indiana Pacers,72,34,38,307.6,27.4,3.1,48.0,2020-21
12,LAC,LA Clippers,72,47,25,281.0,24.4,3.8,43.1,2020-21
13,LAL,Los Angeles Lakers,72,42,30,303.4,24.7,4.1,46.0,2020-21
14,MEM,Memphis Grizzlies,72,38,34,279.1,26.9,3.7,46.7,2020-21
15,MIA,Miami Heat,72,40,32,285.2,26.3,2.7,51.4,2020-21
16,MIL,Milwaukee Bucks,72,46,26,254.8,25.5,2.6,46.7,2020-21
17,MIN,Minnesota Timberwolves,72,23,49,295.6,25.6,3.0,49.3,2020-21
18,NOP,New Orleans Pelicans,72,31,41,291.6,26.0,3.2,46.5,2020-21
19,NYK,New York Knicks,72,41,31,276.2,21.4,2.1,39.4,2020-21
20,OKC,Oklahoma City Thunder,72,22,50,286.1,22.1,2.8,42.9,2020-21
21,ORL,Orlando Magic,72,21,51,269.5,21.8,2.5,43.7,2020-21
22,PHI,Philadelphia 76ers,72,49,23,308.0,23.7,3.2,42.0,2020-21
23,PHX,Phoenix Suns,72,51,21,284.2,26.9,3.7,50.1,2020-21
24,POR,Portland Trail Blazers,72,42,30,244.6,21.3,2.7,39.3,2020-21
25,SAC,Sacramento Kings,72,31,41,279.5,25.5,2.7,45.4,2020-21
26,SAS,San Antonio Spurs,72,33,39,262.4,24.4,2.4,43.3,2020-21
27,TOR,Toronto Raptors,72,27,45,291.4,24.1,3.0,47.3,2020-21
28,UTA,Utah Jazz,72,52,20,289.4,23.7,3.5,44.9,2020-21
29,WAS,Washington Wizards,72,34,38,267.5,25.5,3.1,46.6,2020-21
0,ATL,Atlanta Hawks,82,43,39,257.1,24.6,3.0,43.6,2021-22
1,BOS,Boston Celtics,81,51,30,289.0,24.9,4.0,45.9,2021-22
2,BKN,Brooklyn Nets,82,44,38,266.5,25.3,3.1,44.4,2021-22
3,CHA,Charlotte Hornets,81,43,38,301.5,28.1,3.7,50.8,2021-22
4,CHI,Chicago Bulls,82,46,36,269.5,23.9,3.6,44.3,2021-22
5,CLE,Cleveland Cavaliers,82,44,38,297.0,25.2,3.5,48.8,2021-22
6,DAL,Dallas Mavericks,82,52,30,283.4,23.4,3.8,45.2,2021-22
7,DEN,Denver Nuggets,82,48,34,310.7,27.8,3.9,50.2,2021-22
8,DET,Detroit Pistons,81,23,58,304.4,23.5,3.4,47.4,2021-22
9,GSW,Golden State Warriors,81,53,28,310.3,27.2,4.6,51.7,2021-22
10,HOU,Houston Rockets,82,20,62,278.6,23.6,2.7,45.7,2021-22
11,IND,Indiana Pacers,82,25,57,308.3,25.4,2.9,47.4,2021-22
12,LAC,LA Clippers,81,42,39,276.8,24.1,3.7,43.9,2021-22
13,LAL,Los Angeles Lakers,82,33,49,280.9,24.0,3.0,46.5,2021-22
14,MEM,Memphis Grizzlies,81,55,26,274.2,25.9,3.2,46.9,2021-22
15,MIA,Miami Heat,82,53,29,295.7,25.5,3.5,49.2,2021-22
16,MIL,Milwaukee Bucks,82,51,31,256.0,23.9,3.1,45.7,2021-22
17,MIN,Minnesota Timberwolves,82,46,36,280.9,25.7,3.4,48.5,2021-22
18,NOP,New Orleans Pelicans,81,35,46,300.3,25.0,3.2,48.0,2021-22
19,NYK,New York Knicks,81,36,45,279.0,21.9,2.5,41.2,2021-22
20,OKC,Oklahoma City Thunder,82,24,58,298.6,22.2,2.5,45.1,2021-22
21,ORL,Orlando Magic,82,22,60,284.0,23.7,2.2,47.4,2021-22
22,PHI,Philadelphia 76ers,82,51,31,299.5,23.7,3.5,42.2,2021-22
23,PHX,Phoenix Suns,81,63,18,258.8,27.4,3.5,50.2,2021-22
24,POR,Portland Trail Blazers,82,27,55,276.9,22.9,3.0,46.0,2021-22
25,SAC,Sacramento Kings,81,29,52,280.8,23.6,2.8,43.5,2021-22
26,SAS,San Antonio Spurs,82,34,48,288.8,27.9,3.0,51.5,2021-22
27,TOR,Toronto Raptors,82,48,34,281.1,22.1,3.0,44.3,2021-22
28,UTA,Utah Jazz,82,49,33,266.0,22.4,3.3,42.2,2021-22
29,WAS,Washington Wizards,82,35,47,289.3,25.0,2.8,45.5,2021-22
